title|English|Import from CSV files
title|Persian|از فایل CSV وارد کنید
title|Chinese|从CSV文件导入
title|Spanish|Importar desde archivos CSV
title|Arabic|استيراد من ملفات CSV
title|Portuguese|Importar de arquivos CSV
back|English|Back
back|Persian|بازگشت
back|Chinese|背部
back|Spanish|atrás
back|Arabic|عودة
back|Portuguese|Costas
content|English|This translated text comes from a CSV file.
content|Persian|این متن ترجمه شده از یک پرونده CSV تهیه شده است.
content|Chinese|此翻译的文本来自CSV文件。
content|Spanish|Este texto traducido proviene de un archivo CSV.
content|Arabic|هذا النص المترجم يأتي من ملف CSV.
content|Portuguese|Este texto traduzido vem de um arquivo CSV.
